address,광업,농업,제조업,제조업2,popu,aggri_rate,manu_rate
　　　가평군,116,101,1544,1660,63160,0.0015991133628879036,0.026282457251424952
　　　강릉시,307,344,6197,6504,212676,0.001617483872181158,0.030581729955425154
　　　강진군,15,181,970,985,36350,0.004979367262723521,0.027097661623108667
　　　거제시,30,20,54118,54148,251160,7.963051441312311e-5,0.2155916547220895
　　　거창군,112,144,2361,2473,62610,0.0022999520843315765,0.03949848267049992
　　　경산시,115,144,36019,36134,260427,5.529380594178023e-4,0.13874905443751992
　　　경주시,79,315,43313,43392,257138,0.001225023139325965,0.16874985416391197
　　　계룡시,0,4,866,866,43785,9.135548703894027e-5,0.01977846294393057
　　　고령군,69,158,10115,10184,33113,0.00477153987859753,0.3075529248331471
　　　고성군,56,78,866,922,28323,0.0027539455566147654,0.03255304875895915
　　　고성군,56,78,866,922,53419,0.001460154626630974,0.01725977648402254
　　　고성군,2,181,5479,5481,28323,0.006390565971118879,0.19351763584366063
　　　고성군,2,181,5479,5481,53419,0.0033883075310282857,0.1026039424174919
　　　고양시,0,39,28915,28915,1043035,3.739088333565029e-5,0.027721984401290464
　　　고창군,64,300,1804,1868,57312,0.0052345058626465666,0.03259352317141262
　　　고흥군,35,194,2308,2343,66010,0.0029389486441448267,0.035494622026965614
　　　곡성군,14,176,2738,2752,29814,0.0059032669215804655,0.0923056282283491
　　　공주시,46,132,8194,8240,107495,0.0012279640913530861,0.07665472812688963
　　　과천시,0,34,312,312,57663,5.896328668296828e-4,0.005410748660319442
　　　광명시,0,2,14372,14372,329220,6.074965068950853e-6,0.043654698985480835
　　　광양시,31,67,16289,16320,152077,4.405662920757248e-4,0.10731405801008699
　　　광주시,41,152,45952,45993,360533,4.2159802292716616e-4,0.12756945966111286
　　　괴산군,71,168,3531,3602,38050,0.004415243101182654,0.09466491458607096
　　　구례군,0,47,584,584,26719,0.001759047868557955,0.021857105430592463
　　　구리시,2,0,3772,3774,202121,0,0.018671983613775908
　　　구미시,57,207,93323,93380,421783,4.907736916850608e-4,0.22139346536014964
　　　군산시,165,313,26311,26476,273146,0.0011459073169660181,0.09692984704150893
　　　군위군,48,65,2042,2090,24057,0.0027019162821631955,0.08687700045724737
　　　군포시,0,0,26758,26758,277748,0,0.09633912755447384
　　　금산군,109,89,9267,9376,53410,0.0016663546152405916,0.17554765025276164
　　　김제시,0,492,9159,9159,85788,0.005735067841656176,0.10676318366205063
　　　김천시,62,233,12567,12629,141577,0.0016457475437394492,0.0892023421883498
　　　김포시,5,118,67285,67290,415330,2.8411142946572603e-4,0.16201574651481954
　　　김해시,170,116,90369,90539,533243,2.1753684530317321e-4,0.16978938307675862
　　　나주시,114,1395,5466,5580,112847,0.012361870497221903,0.04944748198888761
　　　남양주시,40,81,29782,29822,681212,1.189057151077785e-4,0.04377785476474284
